noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.25,2025,cross_site_blend_75,4,0.7731678945327647,0.5066666666666667,0.46358536544295065,75
0.25,2025,cross_site_full,0,0.5806824754193175,0.4074074074074074,0.3901802869671747,270
0.25,2025,cross_site_full,1,0.3938814531548759,0.3888888888888889,0.3852508077758356,90
0.25,2025,cross_site_full,2,0.6027164685908319,0.4777777777777778,0.4526695526695526,90
0.25,2025,cross_site_full,3,0.6885964912280702,0.5,0.49316282158387414,76
0.25,2025,cross_site_full,4,0.769409636997804,0.52,0.48166793990323403,75
0.25,2025,fedavg,0,0.6091690544412607,0.4185185185185185,0.40177595989198983,270
0.25,2025,fedavg,1,0.3897996357012752,0.4,0.39991219667943806,90
0.25,2025,fedavg,2,0.6193656093489148,0.4777777777777778,0.4548928048928049,90
0.25,2025,fedavg,3,0.6793721973094171,0.4473684210526316,0.43887099490547765,76
0.25,2025,fedavg,4,0.6976336546888695,0.4666666666666667,0.4316233157304981,75
0.35,7,cross_site_blend_50,0,0.645895745955662,0.44074074074074077,0.4292760815128549,270
0.35,7,cross_site_blend_50,1,0.7317073170731707,0.5777777777777777,0.5555571151671127,90
0.35,7,cross_site_blend_50,2,0.7316239316239317,0.4888888888888889,0.4590963383212589,90
0.35,7,cross_site_blend_50,3,0.6151235549899248,0.5526315789473685,0.5364380648591175,76
0.35,7,cross_site_blend_50,4,0.7682880122558406,0.52,0.4787647483235719,75
0.35,7,cross_site_blend_75,0,0.6404833836858006,0.44074074074074077,0.43086118750149144,270
