noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.0,123,cross_site_blend_75,-0.006917279751017524,0.6909282147715607,0.6840109350205432,0.004991680532445919,0.4875207986688852,0.4925124792013311,-0.0003569614297473378,0.4819818414426635,0.48162488001291615
0.0,123,cross_site_full,-0.01896807441697379,0.6909282147715607,0.671960140354587,-0.009983361064891838,0.4875207986688852,0.47753743760399336,-0.014482955858113655,0.4819818414426635,0.46749888558454983
0.0,2025,cross_site_blend_50,-0.023056221184677206,0.6328277214203815,0.6097715002357043,-0.021630615640598982,0.46256239600665555,0.44093178036605657,-0.020999019709190436,0.449419482335778,0.42842046262658756
0.0,2025,cross_site_blend_75,-0.020118727017284455,0.6328277214203815,0.612708994403097,-0.01830282861896837,0.46256239600665555,0.4442595673876872,-0.01608388497315566,0.449419482335778,0.43333559736262234
0.0,2025,cross_site_full,-0.021717222092339616,0.6328277214203815,0.6111104993280418,-0.016638935108153063,0.46256239600665555,0.4459234608985025,-0.014016960636332287,0.449419482335778,0.4354025216994457
0.25,7,cross_site_blend_50,0.013867049401851683,0.6915637597455779,0.7054308091474296,-0.011647254575707144,0.5141430948419301,0.502495840266223,-0.016852926260741308,0.5038187275111521,0.4869658012504108
0.25,7,cross_site_blend_75,0.010681662719762453,0.6915637597455779,0.7022454224653404,-0.011647254575707144,0.5141430948419301,0.502495840266223,-0.01866463816319297,0.5038187275111521,0.4851540893479591
0.25,7,cross_site_full,0.012156461968340748,0.6915637597455779,0.7037202217139187,-0.014975041597337757,0.5141430948419301,0.49916805324459235,-0.0215856962835414,0.5038187275111521,0.4822330312276107
0.25,42,cross_site_blend_50,0.009208392335925741,0.6818296219427675,0.6910380142786933,0.009983361064891838,0.4858569051580699,0.49584026622296173,0.011212169499353719,0.4622776845754843,0.473489854074838
0.25,42,cross_site_blend_75,-0.0012803916605788057,0.6818296219427675,0.6805492302821887,0.008319467554076532,0.4858569051580699,0.49417637271214643,0.010818749050229282,0.4622776845754843,0.4730964336257136
