n,training_count,pair_count,paired_fraction_of_total,paired_fraction_of_training,overlap,nonlinear,method,task_auc_mean,task_auc_std,universal_biological_score_mean,universal_biological_score_std,factor_separation_score_mean,factor_separation_score_std,task_auc_from_acq_mean,task_auc_from_acq_std,chance_normalized_environment_leakage_mean,chance_normalized_environment_leakage_std,paired_biological_invariance_error_mean,paired_biological_invariance_error_std,counterfactual_transport_error_mean,counterfactual_transport_error_std,biology_cca_from_bio_mean,biology_cca_from_bio_std,biology_procrustes_error_mean,biology_procrustes_error_std,n_seeds,recovery_margin,recovered,observational_log10,pair_count_log10_plus_one
500,300,2,0.004,0.006666666666666667,0.9,True,factorized,0.9587632392473898,0.025655070644516494,0.1661666750907898,0.050858667569851655,0.48446648120880126,0.11883335964454496,0.7370175877887386,0.07220247570751931,0.29066666666666663,0.11407599805977298,,,,,0.5256406733031299,0.09107940283298208,1.1971212387084962,0.12409037709134332,5,-0.3338333249092102,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.9,True,hybrid_curriculum,0.9633925718693275,0.020649217980937263,0.2558550864458084,0.10917162693382335,0.5745331764221191,0.06001492248153526,0.7344914491400425,0.11529737515211443,0.2293333333333333,0.11290113669342156,,,,,0.5260399246796656,0.05878044856494202,0.9107045292854309,0.09695840459467593,5,-0.2441449135541916,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.9,True,operator,0.966998554088302,0.019067997119906886,0.2979562014341354,0.04634654500627191,0.6238842964172363,0.18242868474093185,0.7809085982605601,0.10453265215414816,0.22133333333333333,0.07808826914318037,,,,,0.5165734148899463,0.09126603849863071,0.8264631509780884,0.10735965083146375,5,-0.20204379856586457,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.9,True,pair_consistency,0.9625998562516793,0.019227664331072973,0.2953064113855362,0.04672064453056665,0.625581219792366,0.15513980875098377,0.7620817600856767,0.04652609387349777,0.184,0.06626545941220893,,,,,0.47340802018831785,0.058459423029979786,0.9831075668334961,0.18056132793642496,5,-0.2046935886144638,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,False,factorized,0.9443375280160374,0.031352480673218566,0.14961398243904114,0.09142742514413228,0.36818199753761294,0.12588397217153238,0.7849509722343043,0.07000603926394028,0.24533333333333332,0.10180591556704569,,,,,0.5337649599384359,0.03853338149810235,1.297104835510254,0.07245780072446986,5,-0.3503860175609589,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,False,hybrid_curriculum,0.9448835829597539,0.023530535610874176,0.21950438916683196,0.07115312888884462,0.48387269079685213,0.08894259042988585,0.7568017968926701,0.0989022135537325,0.24533333333333332,0.10439242203233806,,,,,0.5502118153185113,0.051540796876388656,0.9752701997756958,0.16343362706325917,5,-0.28049561083316804,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,False,operator,0.9499345229879392,0.01776568521462089,0.23950519263744355,0.07702401191296712,0.48173087537288667,0.17974320300187085,0.8062751794437581,0.1002052295706003,0.2666666666666667,0.08944271909999159,,,,,0.5183053043635036,0.07374276751777643,0.8920914888381958,0.12049732016060082,5,-0.2604948073625565,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,False,pair_consistency,0.941053030758197,0.02587608429840969,0.2035127103328705,0.06133995718440847,0.48999266922473905,0.16129435239012158,0.7631911111111112,0.04105859713799063,0.27466666666666667,0.13616982860465904,,,,,0.4888797750632269,0.07292480892561211,1.0678389191627502,0.2679440634939132,5,-0.2964872896671295,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,True,factorized,0.9375372140740353,0.03311957646130615,0.14205451607704161,0.03118232071740345,0.40680990517139437,0.0986099956958313,0.7395443475167844,0.07888670063878568,0.2773333333333333,0.11940593694526992,,,,,0.5216053271024231,0.09255285873523655,1.1835530281066895,0.06769806529612571,5,-0.3579454839229584,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,True,hybrid_curriculum,0.943685903346846,0.024197518361662524,0.19698138236999513,0.07211318440734803,0.4540811091661453,0.07404979618816168,0.743536679599376,0.1135698568261666,0.264,0.11290113669342157,,,,,0.49948125102692237,0.06686915116561956,0.9524284958839416,0.1058158319625561,5,-0.30301861763000487,False,2.6989700043360187,0.47712125471966244
