representation,fold,seed,n_fit,n_test,feature_dim,rep_family,condition,branch,scanner_probe_accuracy,category_probe_accuracy,category_probe_macro_f1,purity_k1,purity_k5,purity_k10,same_sample_retrieval_k1,effective_rank,category_scanner_ratio,runtime_seconds,k
true_pair_acquisition,3,912,3245,780,64,pair_integrity,true_pairs,acquisition,0.8910256410256411,0.38406364981304547,0.25952852760014533,0.5717948717948718,0.48128205128205126,0.4438461538461539,0.4807692307692308,12.63835515266268,0.431035463099533,1.2411120999895502,
true_pair_acquisition,3,913,3245,780,64,pair_integrity,true_pairs,acquisition,0.8782051282051281,0.3671575342465754,0.2863846749691106,0.591025641025641,0.49666666666666665,0.45371794871794874,0.49743589743589745,12.812353130579426,0.418077192280772,1.3811844000010751,
true_pair_acquisition,3,914,3245,780,64,pair_integrity,true_pairs,acquisition,0.8833333333333334,0.39420401493930907,0.270736620563536,0.5961538461538461,0.4928205128205128,0.45089743589743597,0.5051282051282051,12.454777239229475,0.4462686961577083,1.2663213000050746,
true_pair_acquisition,3,915,3245,780,64,pair_integrity,true_pairs,acquisition,0.8833333333333334,0.39843274752823504,0.2739605848341132,0.5897435897435898,0.48358974358974355,0.4461538461538462,0.4987179487179487,11.883958284887228,0.4510559405980019,1.160081199996057,
shuffled_sample_biological,3,911,3245,780,256,pair_integrity,shuffled_sample_pairs,biological,0.4012820512820513,0.3557278543076287,0.30298657025843234,0.9064102564102564,0.7261538461538461,0.5919230769230769,0.8987179487179487,47.31485938384138,0.8864783589774773,1.7330308999953559,
shuffled_sample_biological,3,912,3245,780,256,pair_integrity,shuffled_sample_pairs,biological,0.37820512820512825,0.4079292280077937,0.31722435355389456,0.9051282051282051,0.7174358974358974,0.5973076923076923,0.8846153846153846,46.7047375431766,1.0785925350714545,1.385771700006444,
shuffled_sample_biological,3,913,3245,780,256,pair_integrity,shuffled_sample_pairs,biological,0.3730769230769231,0.33885272373789704,0.26061604263409344,0.9051282051282051,0.6964102564102563,0.550897435897436,0.8910256410256411,49.97409371643702,0.9082650326995179,1.3140513999969698,
shuffled_sample_biological,3,914,3245,780,256,pair_integrity,shuffled_sample_pairs,biological,0.3897435897435898,0.2973431244643976,0.26278591616327124,0.908974358974359,0.7046153846153846,0.5616666666666666,0.8948717948717949,47.85233691535645,0.7629198588231253,1.2652645000052871,
shuffled_sample_biological,3,915,3245,780,256,pair_integrity,shuffled_sample_pairs,biological,0.3961538461538462,0.35347186515397633,0.2576693160704899,0.9012820512820513,0.7269230769230769,0.6024358974358974,0.8910256410256411,45.46076783191836,0.8922590770877071,1.3201516000117408,
shuffled_sample_acquisition,3,911,3245,780,64,pair_integrity,shuffled_sample_pairs,acquisition,0.85,0.40045332744970136,0.3190586822026161,0.7397435897435898,0.6238461538461538,0.5643589743589744,0.6782051282051282,19.12950593643965,0.47112156170553104,1.3123975000053179,
