representation,held_out_scanner,seed,n_train_patches,n_test_patches,n_train_samples,n_test_samples,sample_overlap,train_has_heldout_scanner
pca_removal_k32,nz20,912,2332,222,30,14,0,False
pca_removal_k32,nz20,913,2120,275,30,14,0,False
pca_removal_k32,nz20,914,1856,341,30,14,0,False
pca_removal_k32,nz20,915,2332,222,30,14,0,False
linear_projection_k0,nz20,911,2136,271,30,14,0,False
linear_projection_k0,nz20,912,2332,222,30,14,0,False
linear_projection_k0,nz20,913,2120,275,30,14,0,False
linear_projection_k0,nz20,914,1856,341,30,14,0,False
linear_projection_k0,nz20,915,2332,222,30,14,0,False
linear_projection_k1,nz20,911,2136,271,30,14,0,False
linear_projection_k1,nz20,912,2332,222,30,14,0,False
linear_projection_k1,nz20,913,2120,275,30,14,0,False
linear_projection_k1,nz20,914,1856,341,30,14,0,False
linear_projection_k1,nz20,915,2332,222,30,14,0,False
linear_projection_k2,nz20,911,2136,271,30,14,0,False
linear_projection_k2,nz20,912,2332,222,30,14,0,False
linear_projection_k2,nz20,913,2120,275,30,14,0,False
linear_projection_k2,nz20,914,1856,341,30,14,0,False
linear_projection_k2,nz20,915,2332,222,30,14,0,False
linear_projection_k4,nz20,911,2136,271,30,14,0,False
linear_projection_k4,nz20,912,2332,222,30,14,0,False
linear_projection_k4,nz20,913,2120,275,30,14,0,False
linear_projection_k4,nz20,914,1856,341,30,14,0,False
linear_projection_k4,nz20,915,2332,222,30,14,0,False
linear_projection_k8,nz20,911,2136,271,30,14,0,False
linear_projection_k8,nz20,912,2332,222,30,14,0,False
linear_projection_k8,nz20,913,2120,275,30,14,0,False
linear_projection_k8,nz20,914,1856,341,30,14,0,False
linear_projection_k8,nz20,915,2332,222,30,14,0,False
linear_projection_k16,nz20,911,2136,271,30,14,0,False
linear_projection_k16,nz20,912,2332,222,30,14,0,False
linear_projection_k16,nz20,913,2120,275,30,14,0,False
linear_projection_k16,nz20,914,1856,341,30,14,0,False
linear_projection_k16,nz20,915,2332,222,30,14,0,False
linear_projection_k32,nz20,911,2136,271,30,14,0,False
linear_projection_k32,nz20,912,2332,222,30,14,0,False
linear_projection_k32,nz20,913,2120,275,30,14,0,False
linear_projection_k32,nz20,914,1856,341,30,14,0,False
linear_projection_k32,nz20,915,2332,222,30,14,0,False
pca_removal_k1,nz210,911,2136,271,30,14,0,False
pca_removal_k1,nz210,912,2332,222,30,14,0,False
pca_removal_k1,nz210,913,2120,275,30,14,0,False
pca_removal_k1,nz210,914,1856,341,30,14,0,False
pca_removal_k1,nz210,915,2332,222,30,14,0,False
pca_removal_k2,nz210,911,2136,271,30,14,0,False
pca_removal_k2,nz210,912,2332,222,30,14,0,False
pca_removal_k2,nz210,913,2120,275,30,14,0,False
pca_removal_k2,nz210,914,1856,341,30,14,0,False
pca_removal_k2,nz210,915,2332,222,30,14,0,False
pca_removal_k4,nz210,911,2136,271,30,14,0,False
pca_removal_k4,nz210,912,2332,222,30,14,0,False
pca_removal_k4,nz210,913,2120,275,30,14,0,False
pca_removal_k4,nz210,914,1856,341,30,14,0,False
pca_removal_k4,nz210,915,2332,222,30,14,0,False
pca_removal_k8,nz210,911,2136,271,30,14,0,False
pca_removal_k8,nz210,912,2332,222,30,14,0,False
pca_removal_k8,nz210,913,2120,275,30,14,0,False
pca_removal_k8,nz210,914,1856,341,30,14,0,False
pca_removal_k8,nz210,915,2332,222,30,14,0,False
pca_removal_k16,nz210,911,2136,271,30,14,0,False
pca_removal_k16,nz210,912,2332,222,30,14,0,False
pca_removal_k16,nz210,913,2120,275,30,14,0,False
pca_removal_k16,nz210,914,1856,341,30,14,0,False
pca_removal_k16,nz210,915,2332,222,30,14,0,False
pca_removal_k32,nz210,911,2136,271,30,14,0,False
pca_removal_k32,nz210,912,2332,222,30,14,0,False
pca_removal_k32,nz210,913,2120,275,30,14,0,False
pca_removal_k32,nz210,914,1856,341,30,14,0,False
pca_removal_k32,nz210,915,2332,222,30,14,0,False
linear_projection_k0,nz210,911,2136,271,30,14,0,False
linear_projection_k0,nz210,912,2332,222,30,14,0,False
linear_projection_k0,nz210,913,2120,275,30,14,0,False
linear_projection_k0,nz210,914,1856,341,30,14,0,False
linear_projection_k0,nz210,915,2332,222,30,14,0,False
linear_projection_k1,nz210,911,2136,271,30,14,0,False
linear_projection_k1,nz210,912,2332,222,30,14,0,False
linear_projection_k1,nz210,913,2120,275,30,14,0,False
linear_projection_k1,nz210,914,1856,341,30,14,0,False
linear_projection_k1,nz210,915,2332,222,30,14,0,False
linear_projection_k2,nz210,911,2136,271,30,14,0,False
linear_projection_k2,nz210,912,2332,222,30,14,0,False
linear_projection_k2,nz210,913,2120,275,30,14,0,False
linear_projection_k2,nz210,914,1856,341,30,14,0,False
linear_projection_k2,nz210,915,2332,222,30,14,0,False
linear_projection_k4,nz210,911,2136,271,30,14,0,False
linear_projection_k4,nz210,912,2332,222,30,14,0,False
linear_projection_k4,nz210,913,2120,275,30,14,0,False
linear_projection_k4,nz210,914,1856,341,30,14,0,False
linear_projection_k4,nz210,915,2332,222,30,14,0,False
linear_projection_k8,nz210,911,2136,271,30,14,0,False
linear_projection_k8,nz210,912,2332,222,30,14,0,False
linear_projection_k8,nz210,913,2120,275,30,14,0,False
linear_projection_k8,nz210,914,1856,341,30,14,0,False
linear_projection_k8,nz210,915,2332,222,30,14,0,False
linear_projection_k16,nz210,911,2136,271,30,14,0,False
linear_projection_k16,nz210,912,2332,222,30,14,0,False
linear_projection_k16,nz210,913,2120,275,30,14,0,False
linear_projection_k16,nz210,914,1856,341,30,14,0,False
linear_projection_k16,nz210,915,2332,222,30,14,0,False
linear_projection_k32,nz210,911,2136,271,30,14,0,False
linear_projection_k32,nz210,912,2332,222,30,14,0,False
linear_projection_k32,nz210,913,2120,275,30,14,0,False
linear_projection_k32,nz210,914,1856,341,30,14,0,False
linear_projection_k32,nz210,915,2332,222,30,14,0,False
pca_removal_k1,p1000,911,2136,271,30,14,0,False
pca_removal_k1,p1000,912,2332,222,30,14,0,False
pca_removal_k1,p1000,913,2120,275,30,14,0,False
pca_removal_k1,p1000,914,1856,341,30,14,0,False
pca_removal_k1,p1000,915,2332,222,30,14,0,False
pca_removal_k2,p1000,911,2136,271,30,14,0,False
pca_removal_k2,p1000,912,2332,222,30,14,0,False
pca_removal_k2,p1000,913,2120,275,30,14,0,False
pca_removal_k2,p1000,914,1856,341,30,14,0,False
pca_removal_k2,p1000,915,2332,222,30,14,0,False
pca_removal_k4,p1000,911,2136,271,30,14,0,False
pca_removal_k4,p1000,912,2332,222,30,14,0,False
pca_removal_k4,p1000,913,2120,275,30,14,0,False
pca_removal_k4,p1000,914,1856,341,30,14,0,False
pca_removal_k4,p1000,915,2332,222,30,14,0,False
pca_removal_k8,p1000,911,2136,271,30,14,0,False
pca_removal_k8,p1000,912,2332,222,30,14,0,False
pca_removal_k8,p1000,913,2120,275,30,14,0,False
pca_removal_k8,p1000,914,1856,341,30,14,0,False
pca_removal_k8,p1000,915,2332,222,30,14,0,False
pca_removal_k16,p1000,911,2136,271,30,14,0,False
pca_removal_k16,p1000,912,2332,222,30,14,0,False
pca_removal_k16,p1000,913,2120,275,30,14,0,False
pca_removal_k16,p1000,914,1856,341,30,14,0,False
pca_removal_k16,p1000,915,2332,222,30,14,0,False
pca_removal_k32,p1000,911,2136,271,30,14,0,False
pca_removal_k32,p1000,912,2332,222,30,14,0,False
pca_removal_k32,p1000,913,2120,275,30,14,0,False
pca_removal_k32,p1000,914,1856,341,30,14,0,False
pca_removal_k32,p1000,915,2332,222,30,14,0,False
linear_projection_k0,p1000,911,2136,271,30,14,0,False
linear_projection_k0,p1000,912,2332,222,30,14,0,False
linear_projection_k0,p1000,913,2120,275,30,14,0,False
linear_projection_k0,p1000,914,1856,341,30,14,0,False
linear_projection_k0,p1000,915,2332,222,30,14,0,False
linear_projection_k1,p1000,911,2136,271,30,14,0,False
linear_projection_k1,p1000,912,2332,222,30,14,0,False
linear_projection_k1,p1000,913,2120,275,30,14,0,False
linear_projection_k1,p1000,914,1856,341,30,14,0,False
linear_projection_k1,p1000,915,2332,222,30,14,0,False
linear_projection_k2,p1000,911,2136,271,30,14,0,False
linear_projection_k2,p1000,912,2332,222,30,14,0,False
linear_projection_k2,p1000,913,2120,275,30,14,0,False
linear_projection_k2,p1000,914,1856,341,30,14,0,False
linear_projection_k2,p1000,915,2332,222,30,14,0,False
linear_projection_k4,p1000,911,2136,271,30,14,0,False
linear_projection_k4,p1000,912,2332,222,30,14,0,False
linear_projection_k4,p1000,913,2120,275,30,14,0,False
linear_projection_k4,p1000,914,1856,341,30,14,0,False
linear_projection_k4,p1000,915,2332,222,30,14,0,False
linear_projection_k8,p1000,911,2136,271,30,14,0,False
linear_projection_k8,p1000,912,2332,222,30,14,0,False
linear_projection_k8,p1000,913,2120,275,30,14,0,False
linear_projection_k8,p1000,914,1856,341,30,14,0,False
linear_projection_k8,p1000,915,2332,222,30,14,0,False
linear_projection_k16,p1000,911,2136,271,30,14,0,False
linear_projection_k16,p1000,912,2332,222,30,14,0,False
linear_projection_k16,p1000,913,2120,275,30,14,0,False
linear_projection_k16,p1000,914,1856,341,30,14,0,False
linear_projection_k16,p1000,915,2332,222,30,14,0,False
linear_projection_k32,p1000,911,2136,271,30,14,0,False
linear_projection_k32,p1000,912,2332,222,30,14,0,False
linear_projection_k32,p1000,913,2120,275,30,14,0,False
linear_projection_k32,p1000,914,1856,341,30,14,0,False
linear_projection_k32,p1000,915,2332,222,30,14,0,False
