contrast_type,fold,neural_seed,k_value,paired_category_contrast,paired_scanner_contrast,paired_acquisition_category_leakage,paired_bio_scanner_leakage,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,oldstyle_category_contrast,oldstyle_scanner_contrast,oldstyle_removed_category_leakage,oldstyle_keep_scanner_leakage,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_category_balanced_accuracy,removed_category_balanced_accuracy,oldstyle_keep_scanner_minus_true_pair_bio,oldstyle_keep_category_minus_true_pair_bio,oldstyle_removed_scanner_minus_true_pair_acquisition,oldstyle_removed_category_minus_true_pair_acquisition
shuffled_sample_branch,4,914.0,,-0.1201975670884528,0.4292397660818713,0.39665729946236084,0.4432748538011696,0.4432748538011696,0.8725146198830409,0.27645973237390803,0.39665729946236084,,,,,,,,,,,,
true_pair_branch,4,915.0,,0.0933542567219442,0.5380116959064327,0.25721367297453857,0.3578947368421052,0.3578947368421052,0.8959064327485379,0.35056792969648276,0.25721367297453857,,,,,,,,,,,,
shuffled_sample_branch,4,915.0,,-0.07355239434241823,0.33801169590643276,0.356098224655716,0.4865497076023392,0.4865497076023392,0.8245614035087719,0.2825458303132978,0.356098224655716,,,,,,,,,,,,
oldstyle_decomposition,4,,1.0,,,,,,,,,0.1974274361862845,-0.4923976608187135,0.17158365134671755,0.7812865497076024,0.7812865497076024,0.28888888888888886,0.36901108753300205,0.17158365134671755,,,,
oldstyle_decomposition,4,,2.0,,,,,,,,,0.1173813977452342,-0.18596491228070183,0.2507040423358046,0.616374269005848,0.616374269005848,0.4304093567251462,0.36808544008103883,0.2507040423358046,,,,
oldstyle_decomposition,4,,3.0,,,,,,,,,0.11098498860391387,0.0736842105263158,0.25681974972273897,0.47602339181286546,0.47602339181286546,0.5497076023391813,0.36780473832665284,0.25681974972273897,,,,
oldstyle_decomposition,4,,4.0,,,,,,,,,0.1119020198580074,0.4222222222222222,0.2558479473946189,0.2,0.2,0.6222222222222222,0.3677499672526263,0.2558479473946189,,,,
paired_vs_oldstyle_k4,4,911.0,4.0,,,,,,,,,,,,,,,,,-0.17426900584795318,-0.00296053723158074,-0.2654970760233918,-0.07380539618500376
paired_vs_oldstyle_k4,4,912.0,4.0,,,,,,,,,,,,,,,,,-0.14269005847953214,0.023599009137244997,-0.2771929824561403,-0.07856980430169502
paired_vs_oldstyle_k4,4,913.0,4.0,,,,,,,,,,,,,,,,,-0.2140350877192982,0.013594380841767617,-0.2748538011695906,-0.031876392491100025
paired_vs_oldstyle_k4,4,914.0,4.0,,,,,,,,,,,,,,,,,-0.1695906432748538,0.0028563161678877846,-0.26900584795321625,-0.10958510096379159
paired_vs_oldstyle_k4,4,915.0,4.0,,,,,,,,,,,,,,,,,-0.1578947368421052,0.01718203755614356,-0.27368421052631564,-0.0013657255799196522
