representation,representation_family,branch,fold,neural_seed,k_value,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,same_sample_top1_retrieval
true_pair_acquisition,neural_factorization,acquisition,4,914.0,,0.5485380116959064,0.4266666666666667,0.3778947368421053,0.6783625730994152
true_pair_acquisition,neural_factorization,acquisition,4,915.0,,0.5649122807017544,0.43157894736842106,0.37894736842105264,0.6771929824561403
true_pair_biological,neural_factorization,biological,0,911.0,,0.9611111111111111,0.8766666666666667,0.7219444444444445,1.0
true_pair_biological,neural_factorization,biological,0,912.0,,0.9611111111111111,0.8822222222222222,0.7173611111111111,0.9986111111111111
true_pair_biological,neural_factorization,biological,0,913.0,,0.9611111111111111,0.8794444444444445,0.7331944444444445,1.0
true_pair_biological,neural_factorization,biological,0,914.0,,0.9569444444444445,0.8713888888888889,0.7094444444444444,1.0
true_pair_biological,neural_factorization,biological,0,915.0,,0.9541666666666667,0.8811111111111111,0.7223611111111111,1.0
true_pair_biological,neural_factorization,biological,1,911.0,,0.9925925925925926,0.9051851851851852,0.7623280423280423,0.9925925925925926
true_pair_biological,neural_factorization,biological,1,912.0,,0.9894179894179894,0.9056084656084656,0.7592592592592593,0.9894179894179894
true_pair_biological,neural_factorization,biological,1,913.0,,0.9904761904761905,0.9087830687830688,0.7594708994708995,0.9947089947089947
true_pair_biological,neural_factorization,biological,1,914.0,,0.9915343915343915,0.9070899470899471,0.7570370370370371,0.9957671957671957
true_pair_biological,neural_factorization,biological,1,915.0,,0.9904761904761905,0.8988359788359789,0.7529100529100529,0.9957671957671957
true_pair_biological,neural_factorization,biological,2,911.0,,0.96,0.8979310344827586,0.7477241379310345,0.9986206896551724
true_pair_biological,neural_factorization,biological,2,912.0,,0.9586206896551724,0.8924137931034483,0.7408275862068966,0.9986206896551724
true_pair_biological,neural_factorization,biological,2,913.0,,0.9572413793103448,0.8904827586206897,0.7402758620689656,1.0
true_pair_biological,neural_factorization,biological,2,914.0,,0.9544827586206897,0.8976551724137931,0.7475862068965518,0.9986206896551724
true_pair_biological,neural_factorization,biological,2,915.0,,0.9558620689655173,0.8888275862068965,0.7375172413793103,0.9986206896551724
true_pair_biological,neural_factorization,biological,3,911.0,,0.9923076923076923,0.9256410256410257,0.7928205128205128,0.9987179487179487
true_pair_biological,neural_factorization,biological,3,912.0,,0.9948717948717949,0.9241025641025641,0.7973076923076923,1.0
true_pair_biological,neural_factorization,biological,3,913.0,,0.9961538461538462,0.9235897435897436,0.7874358974358975,0.9987179487179487
true_pair_biological,neural_factorization,biological,3,914.0,,0.9948717948717949,0.9156410256410257,0.7732051282051282,0.9987179487179487
true_pair_biological,neural_factorization,biological,3,915.0,,0.9948717948717949,0.9225641025641026,0.7903846153846154,1.0
true_pair_biological,neural_factorization,biological,4,911.0,,0.9637426900584796,0.887953216374269,0.747953216374269,0.9988304093567252
true_pair_biological,neural_factorization,biological,4,912.0,,0.9637426900584796,0.8891228070175439,0.7457309941520468,0.9988304093567252
true_pair_biological,neural_factorization,biological,4,913.0,,0.960233918128655,0.8816374269005848,0.7421052631578947,1.0
true_pair_biological,neural_factorization,biological,4,914.0,,0.960233918128655,0.8905263157894737,0.7497076023391813,1.0
true_pair_biological,neural_factorization,biological,4,915.0,,0.9672514619883041,0.887953216374269,0.7357894736842105,0.9988304093567252
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,0,,1.0,0.9402777777777778,0.8575,0.7076388888888889,1.0
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,1,,1.0,0.9830687830687831,0.8916402116402117,0.7564021164021164,0.9904761904761905
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,2,,1.0,0.9462068965517242,0.8612413793103448,0.7139310344827586,0.9958620689655172
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,3,,1.0,0.9897435897435898,0.9058974358974359,0.7683333333333333,0.9961538461538462
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,4,,1.0,0.952046783625731,0.8617543859649123,0.7328654970760234,0.9964912280701754
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,0,,2.0,0.9430555555555555,0.8622222222222222,0.7104166666666667,1.0
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,1,,2.0,0.9862433862433863,0.893968253968254,0.757989417989418,0.9936507936507937
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,2,,2.0,0.9462068965517242,0.8653793103448276,0.7154482758620689,0.9972413793103448
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,3,,2.0,0.9910256410256411,0.9125641025641026,0.773974358974359,0.9974358974358974
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,4,,2.0,0.9543859649122807,0.8678362573099415,0.7388304093567252,0.9976608187134502
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,0,,3.0,0.9416666666666667,0.8669444444444444,0.715,1.0
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,1,,3.0,0.9873015873015873,0.8975661375661376,0.7604232804232804,0.9947089947089947
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,2,,3.0,0.9475862068965517,0.872551724137931,0.7206896551724138,0.9986206896551724
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,3,,3.0,0.9923076923076923,0.9194871794871795,0.7773076923076923,0.9974358974358974
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,4,,3.0,0.960233918128655,0.8739181286549708,0.7432748538011696,0.9988304093567252
oldstyle_keep_k4,oldstyle_linear_decomposition,keep,0,,4.0,0.9486111111111111,0.8694444444444445,0.7151388888888889,1.0
oldstyle_keep_k4,oldstyle_linear_decomposition,keep,1,,4.0,0.9873015873015873,0.9011640211640212,0.7639153439153439,0.9947089947089947
oldstyle_keep_k4,oldstyle_linear_decomposition,keep,2,,4.0,0.9517241379310345,0.8758620689655172,0.7224827586206897,0.9986206896551724
oldstyle_keep_k4,oldstyle_linear_decomposition,keep,3,,4.0,0.9910256410256411,0.9243589743589744,0.7811538461538462,0.9987179487179487
oldstyle_keep_k4,oldstyle_linear_decomposition,keep,4,,4.0,0.960233918128655,0.8767251461988305,0.7452631578947368,0.9988304093567252
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,0,,1.0,0.19583333333333333,0.17555555555555555,0.16597222222222222,0.1
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,1,,1.0,0.2751322751322751,0.2201058201058201,0.24582010582010583,0.12169312169312169
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,2,,1.0,0.25103448275862067,0.2562758620689655,0.24372413793103448,0.16551724137931034
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,3,,1.0,0.31153846153846154,0.25256410256410255,0.22692307692307692,0.14871794871794872
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,4,,1.0,0.20701754385964913,0.2392982456140351,0.25380116959064325,0.2736842105263158
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,0,,2.0,0.29444444444444445,0.2902777777777778,0.29291666666666666,0.29583333333333334
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,1,,2.0,0.2878306878306878,0.2929100529100529,0.29248677248677246,0.20952380952380953
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,2,,2.0,0.2496551724137931,0.24662068965517242,0.24441379310344827,0.1986206896551724
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,3,,2.0,0.35128205128205126,0.3646153846153846,0.3696153846153846,0.28717948717948716
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,4,,2.0,0.2409356725146199,0.25333333333333335,0.24783625730994152,0.1824561403508772
