alternative,min_val_gain,max_id_val_cost,switched_mean,switched_std,id_val_accuracy_chosen_minus_fedavg_mean,id_val_accuracy_chosen_minus_fedavg_std,val_accuracy_chosen_minus_fedavg_mean,val_accuracy_chosen_minus_fedavg_std,test_accuracy_chosen_minus_fedavg_mean,test_accuracy_chosen_minus_fedavg_std,test_macro_f1_chosen_minus_fedavg_mean,test_macro_f1_chosen_minus_fedavg_std,test_auc_chosen_minus_fedavg_mean,test_auc_chosen_minus_fedavg_std,robust_positive
downweight_dominant_center,-0.05,0.02,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.05,0.025,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.05,0.03,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.05,0.04,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.05,0.05,0.8,0.4472135954999579,-0.013666666666666693,0.00792324288266983,-0.030600000000000026,0.019138965489283913,0.06280000000000005,0.03715777173082372,0.06507038114911531,0.03854820761996573,0.004658399999999974,0.004360595922577548,True
downweight_dominant_center,-0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.04,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.04,0.02,0.4,0.5477225575051661,-0.007666666666666688,0.01049867716534911,-0.012800000000000011,0.018212632978237952,0.03340000000000003,0.0470297778008785,0.034613816742573134,0.04875155910643167,0.0016335999999999907,0.0023384535060590596,True
downweight_dominant_center,-0.04,0.025,0.4,0.5477225575051661,-0.007666666666666688,0.01049867716534911,-0.012800000000000011,0.018212632978237952,0.03340000000000003,0.0470297778008785,0.034613816742573134,0.04875155910643167,0.0016335999999999907,0.0023384535060590596,True
downweight_dominant_center,-0.04,0.03,0.4,0.5477225575051661,-0.007666666666666688,0.01049867716534911,-0.012800000000000011,0.018212632978237952,0.03340000000000003,0.0470297778008785,0.034613816742573134,0.04875155910643167,0.0016335999999999907,0.0023384535060590596,True
downweight_dominant_center,-0.04,0.04,0.4,0.5477225575051661,-0.007666666666666688,0.01049867716534911,-0.012800000000000011,0.018212632978237952,0.03340000000000003,0.0470297778008785,0.034613816742573134,0.04875155910643167,0.0016335999999999907,0.0023384535060590596,True
downweight_dominant_center,-0.04,0.05,0.4,0.5477225575051661,-0.007666666666666688,0.01049867716534911,-0.012800000000000011,0.018212632978237952,0.03340000000000003,0.0470297778008785,0.034613816742573134,0.04875155910643167,0.0016335999999999907,0.0023384535060590596,True
downweight_dominant_center,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.03,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.03,0.02,0.2,0.447213595499958,-0.003866666666666685,0.008646129512999227,-0.0050000000000000044,0.011180339887498959,0.01980000000000002,0.04427414595449588,0.02053486667358333,0.04591735779102731,0.0010095999999999883,0.0022575342300837613,False
downweight_dominant_center,-0.03,0.025,0.2,0.447213595499958,-0.003866666666666685,0.008646129512999227,-0.0050000000000000044,0.011180339887498959,0.01980000000000002,0.04427414595449588,0.02053486667358333,0.04591735779102731,0.0010095999999999883,0.0022575342300837613,False
downweight_dominant_center,-0.03,0.03,0.2,0.447213595499958,-0.003866666666666685,0.008646129512999227,-0.0050000000000000044,0.011180339887498959,0.01980000000000002,0.04427414595449588,0.02053486667358333,0.04591735779102731,0.0010095999999999883,0.0022575342300837613,False
downweight_dominant_center,-0.03,0.04,0.2,0.447213595499958,-0.003866666666666685,0.008646129512999227,-0.0050000000000000044,0.011180339887498959,0.01980000000000002,0.04427414595449588,0.02053486667358333,0.04591735779102731,0.0010095999999999883,0.0022575342300837613,False
downweight_dominant_center,-0.03,0.05,0.2,0.447213595499958,-0.003866666666666685,0.008646129512999227,-0.0050000000000000044,0.011180339887498959,0.01980000000000002,0.04427414595449588,0.02053486667358333,0.04591735779102731,0.0010095999999999883,0.0022575342300837613,False
downweight_dominant_center,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.02,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
downweight_dominant_center,-0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
