dataset_backbone,fold,seed,condition,scanner_probe_delta,paired_cosine_delta,top1_retrieval_delta,effective_rank_delta,bio_scanner_tissue_ratio,acq_scanner_tissue_ratio
canineSCC_DINOv2,2,911,shuffled_sample_pairs,0.43724137931034485,-0.07346765995025639,-0.253103448275862,-20.051396937005425,0.5625,1.8417047184170472
canineSCC_DINOv2,2,911,true_pairs,0.5062068965517242,-0.32544333040714263,-0.7444827586206897,-61.120684756715036,0.3788217747949292,4.749521988527725
canineSCC_DINOv2,2,912,shuffled_region_pairs,0.5613793103448276,0.005981105566024714,-0.2675862068965516,-33.71822102890251,0.4116802297750121,1.894897182025895
canineSCC_DINOv2,2,912,shuffled_sample_pairs,0.4137931034482758,-0.07234768867492669,-0.2999999999999999,-21.67086597085069,0.5409383624655014,1.822085889570552
canineSCC_DINOv2,2,912,true_pairs,0.5103448275862068,-0.3239608705043793,-0.7282758620689656,-60.79252444994015,0.39398496240601505,4.613138686131387
canineSCC_DINOv2,2,913,shuffled_region_pairs,0.5586206896551725,0.015827718377113387,-0.2775862068965518,-34.21077589096819,0.4028235294117647,1.8757575757575764
canineSCC_DINOv2,2,913,shuffled_sample_pairs,0.42620689655172406,-0.053307047486305215,-0.2699999999999999,-22.450258003339716,0.5413533834586467,1.7754646840148693
canineSCC_DINOv2,2,913,true_pairs,0.503448275862069,-0.30424442887306213,-0.7313793103448277,-61.743759197167805,0.3782576321667907,4.382300884955752
canineSCC_DINOv2,2,914,shuffled_region_pairs,0.5448275862068965,0.014689144492149309,-0.27000000000000013,-32.40706133732121,0.4201520912547528,1.8652535957607874
canineSCC_DINOv2,2,914,shuffled_sample_pairs,0.406896551724138,-0.05301996171474466,-0.2637931034482759,-21.211593520878804,0.5798479087452472,1.792382374906647
canineSCC_DINOv2,2,914,true_pairs,0.5131034482758621,-0.29252690076828003,-0.7520689655172413,-60.5489561906128,0.37356958287190845,4.734848484848485
canineSCC_DINOv2,2,915,shuffled_region_pairs,0.5806896551724138,-0.001130679249763511,-0.27931034482758627,-33.55883305730574,0.3893975903614457,1.9699604743083003
canineSCC_DINOv2,2,915,shuffled_sample_pairs,0.44965517241379305,-0.044435772299766474,-0.28137931034482766,-25.66473170728224,0.5232390991854335,1.8851298190401258
canineSCC_DINOv2,2,915,true_pairs,0.4786206896551725,-0.3208987444639206,-0.7389655172413794,-61.91556468412837,0.41451552562663674,4.709433962264153
canineSCC_DINOv2,3,911,shuffled_region_pairs,0.5641025641025641,-0.011003357172012285,-0.3368589743589743,-35.25115884752735,0.44269466316710415,2.2445344129554656
canineSCC_DINOv2,3,911,shuffled_sample_pairs,0.44999999999999996,-0.04064983725547788,-0.3080128205128206,-28.18535344740173,0.5683159328188834,2.138486312399356
canineSCC_DINOv2,3,911,true_pairs,0.5230769230769232,-0.33850605189800265,-0.801602564102564,-61.03681391754469,0.3755488010807159,5.965217391304348
canineSCC_DINOv2,3,912,shuffled_region_pairs,0.6012820512820514,0.0005563259124755637,-0.3009615384615384,-37.007629497007834,0.4117381489841987,2.1849529780564265
canineSCC_DINOv2,3,912,shuffled_sample_pairs,0.4858974358974358,-0.04193155169486995,-0.29551282051282046,-27.392828207988973,0.5417814508723601,2.146496815286624
canineSCC_DINOv2,3,912,true_pairs,0.5525641025641026,-0.33294269740581517,-0.8022435897435899,-60.90632004108194,0.3564489112227805,5.784232365145228
canineSCC_DINOv2,3,913,shuffled_region_pairs,0.5551282051282052,0.012299194931983948,-0.30192307692307685,-36.52945117722348,0.469406392694064,2.2115384615384617
canineSCC_DINOv2,3,913,shuffled_sample_pairs,0.4756410256410256,-0.016071492433547996,-0.2974358974358974,-30.89983527071949,0.5268915223336372,2.0853080568720377
