dataset_backbone,fold,seed,condition,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
SCORPION_Phikon,0,705,true_pairs,0.508,0.8620702564716339,0.8276647925376892,0.9995,0.995,47.78952661948061,0.9559999999999998,0.19324269983917475,-0.09706268459558487,0.07350000000000001,0.035,9.368022844834655,0.09124311804771423
SCORPION_Phikon,0,705,shuffled_region_pairs,0.4,0.6814611613750458,0.5820298194885254,0.9540000000000001,0.9,46.518438309792515,0.9620000000000001,0.39256428852677344,0.12106799334287643,0.4485,0.33499999999999996,16.142276315235826,0.11386862397193909
SCORPION_Phikon,0,705,shuffled_sample_pairs,0.40599999999999997,0.6300805747509003,0.500414252281189,0.8855000000000001,0.74,42.01191153435879,0.9380000000000001,0.39944249391555786,0.15321622788906097,0.45599999999999996,0.325,16.094240197900653,0.1181861087679863
SCORPION_Phikon,1,701,true_pairs,0.40800000000000003,0.8613636255264282,0.8265601396560669,0.9994999999999999,0.995,50.31792751322223,0.97,0.16363786887377502,-0.12257310748100281,0.07250000000000001,0.025,9.029815718586724,0.0846262276172638
SCORPION_Phikon,1,701,shuffled_region_pairs,0.4,0.6959078013896942,0.6067537665367126,0.968,0.9,45.34143898121325,0.952,0.3629439979791641,0.11408373713493347,0.4875,0.35,16.238562285144344,0.10377279669046402
SCORPION_Phikon,1,701,shuffled_sample_pairs,0.34400000000000003,0.6334117472171783,0.4986780881881714,0.8949999999999999,0.76,42.902934200587815,0.9600000000000002,0.37215579897165296,0.12345807254314423,0.4840000000000001,0.29000000000000004,16.159315439039815,0.10806424915790558
SCORPION_Phikon,1,702,true_pairs,0.54,0.8609752118587494,0.8264278173446655,0.9995,0.995,50.07945956055658,0.9620000000000001,0.1676316972821951,-0.16931533813476562,0.1,0.055,9.40555155636741,0.08515115082263947
SCORPION_Phikon,1,702,shuffled_region_pairs,0.382,0.6849715232849121,0.5937970876693726,0.9595,0.9,46.30709552118177,0.958,0.35746913962066174,0.05144895240664482,0.523,0.315,16.749452545447344,0.10501603037118912
SCORPION_Phikon,1,702,shuffled_sample_pairs,0.366,0.642009949684143,0.49464648962020874,0.9044999999999999,0.74,40.75949458266494,0.9640000000000001,0.3655078776180744,0.04286283999681473,0.534,0.29000000000000004,16.68143201685524,0.11188032478094101
SCORPION_Phikon,1,703,true_pairs,0.48,0.8645052194595337,0.8287219405174255,1.0,1.0,49.37089761917137,0.968,0.20266176811419429,-0.15629401803016663,0.0945,0.06,9.351157171259421,0.08825105428695679
SCORPION_Phikon,1,703,shuffled_region_pairs,0.392,0.7010095059871674,0.6070004105567932,0.9684999999999999,0.91,45.065271023674605,0.9640000000000001,0.3792290285229683,0.0517602264881134,0.5069999999999999,0.31,16.461454810260836,0.1043182983994484
SCORPION_Phikon,1,703,shuffled_sample_pairs,0.39599999999999996,0.6411784291267395,0.5199551582336426,0.9025000000000001,0.79,42.53710276660022,0.9640000000000001,0.3984523147344589,0.09878340363502502,0.533,0.33499999999999996,17.061116847351258,0.10905724763870239
SCORPION_Phikon,1,704,true_pairs,0.492,0.8595522880554199,0.8234825134277344,0.9994999999999999,0.995,50.960278988263724,0.966,0.15594580825418233,-0.1948910355567932,0.08149999999999999,0.05500000000000001,8.686199785121246,0.08388654887676239
SCORPION_Phikon,1,704,shuffled_region_pairs,0.374,0.6957477807998658,0.5963990092277527,0.9705,0.9,46.00003373682528,0.96,0.3440187320113182,0.03713551163673401,0.45199999999999996,0.275,15.651898691229013,0.1044827401638031
SCORPION_Phikon,1,704,shuffled_sample_pairs,0.376,0.6200331300497055,0.4756779968738556,0.8935000000000001,0.725,45.44555285548206,0.96,0.34356306344270704,0.05122324824333191,0.4625,0.3,15.510919296957328,0.1051025465130806
SCORPION_Phikon,1,705,true_pairs,0.48600000000000004,0.8631533026695252,0.8302767872810364,1.0,1.0,49.41878146398752,0.968,0.18690501558594405,-0.03785194084048271,0.0905,0.06,9.791871014817996,0.08751700818538666
SCORPION_Phikon,1,705,shuffled_region_pairs,0.42400000000000004,0.6844094455242157,0.5932931303977966,0.9570000000000001,0.9,46.094932509837015,0.966,0.36229649037122724,0.1861654818058014,0.5115000000000001,0.39,17.38871807611755,0.10716677457094193
SCORPION_Phikon,1,705,shuffled_sample_pairs,0.4080000000000001,0.6342884063720703,0.4857231378555298,0.9035,0.72,42.474129303129715,0.96,0.3891856327652931,0.187395840883255,0.5359999999999999,0.355,17.33385645665706,0.1088990792632103
SCORPION_Phikon,2,701,true_pairs,0.514,0.8566808581352234,0.8297626376152039,1.0,1.0,50.80805015105896,0.984,0.13882804661989212,-0.22283804416656494,0.06,0.025,7.797334825254292,0.08790832757949829
SCORPION_Phikon,2,701,shuffled_region_pairs,0.39399999999999996,0.6940215945243835,0.6302366256713867,0.9594999999999999,0.9,44.61997076539118,0.976,0.32739257253706455,0.045535821467638016,0.41100000000000003,0.27,14.42747161264721,0.1091710552573204
SCORPION_Phikon,2,701,shuffled_sample_pairs,0.404,0.5940767735242843,0.44431403279304504,0.868,0.665,45.390154460300046,0.982,0.3416047260165215,0.024733737111091614,0.43900000000000006,0.315,14.43460747485555,0.10930392891168594
