noise_level,seed,strategy,grade,precision,recall,f1,support
0.25,42,adaptive_ordinal_harm,high_grade_4_5,0.6682464454976303,0.698019801980198,0.6828087167070218,202
0.25,42,cross_site_blend_50,0,0.5652173913043478,0.7722772277227723,0.6527196652719666,101
0.25,42,cross_site_blend_50,1,0.38596491228070173,0.2222222222222222,0.28205128205128205,99
0.25,42,cross_site_blend_50,2,0.43119266055045874,0.47474747474747475,0.4519230769230769,99
0.25,42,cross_site_blend_50,3,0.4794520547945205,0.35,0.4046242774566474,100
0.25,42,cross_site_blend_50,4,0.5063291139240507,0.39603960396039606,0.4444444444444444,101
0.25,42,cross_site_blend_50,5,0.5103448275862069,0.7326732673267327,0.6016260162601627,101
0.25,42,cross_site_blend_50,high_grade_4_5,0.6651785714285714,0.7376237623762376,0.6995305164319249,202
0.25,42,fedavg,0,0.6153846153846154,0.7128712871287128,0.6605504587155964,101
0.25,42,fedavg,1,0.38461538461538464,0.45454545454545453,0.4166666666666667,99
0.25,42,fedavg,2,0.46153846153846156,0.30303030303030304,0.36585365853658536,99
0.25,42,fedavg,3,0.44285714285714284,0.31,0.36470588235294116,100
0.25,42,fedavg,4,0.45569620253164556,0.3564356435643564,0.4,101
0.25,42,fedavg,5,0.5098039215686274,0.7722772277227723,0.6141732283464567,101
0.25,42,fedavg,high_grade_4_5,0.646551724137931,0.7425742574257426,0.6912442396313364,202
0.25,42,ordinal_harm_blend_50,0,0.5253164556962026,0.8217821782178217,0.640926640926641,101
0.25,42,ordinal_harm_blend_50,1,0.4262295081967213,0.26262626262626265,0.325,99
0.25,42,ordinal_harm_blend_50,2,0.41975308641975306,0.3434343434343434,0.37777777777777777,99
0.25,42,ordinal_harm_blend_50,3,0.3956043956043956,0.36,0.3769633507853403,100
0.25,42,ordinal_harm_blend_50,4,0.4805194805194805,0.36633663366336633,0.4157303370786517,101
0.25,42,ordinal_harm_blend_50,5,0.5413533834586466,0.7128712871287128,0.6153846153846154,101
0.25,42,ordinal_harm_blend_50,high_grade_4_5,0.6714285714285714,0.698019801980198,0.6844660194174758,202
0.25,99,adaptive_ordinal_harm,0,0.5040650406504065,0.62,0.5560538116591929,100
0.25,99,adaptive_ordinal_harm,1,0.3404255319148936,0.32,0.32989690721649484,100
0.25,99,adaptive_ordinal_harm,2,0.45,0.36,0.4,100
0.25,99,adaptive_ordinal_harm,3,0.308411214953271,0.32673267326732675,0.3173076923076923,101
0.25,99,adaptive_ordinal_harm,4,0.35714285714285715,0.297029702970297,0.32432432432432434,101
