representation,representation_family,confounding_strength,class,mean,std,count
pca_removal_k16,pca_removal,mild,SCC,0.33977145859055974,0.0893813965655881,25
pca_removal_k16,pca_removal,mild,Subcutis,0.4945662745098039,0.16114611377051496,25
pca_removal_k16,pca_removal,moderate,Bone,0.25843809523809524,0.17011464721557315,25
pca_removal_k16,pca_removal,moderate,Cartilage,0.0,0.0,5
pca_removal_k16,pca_removal,moderate,Dermis,0.1079546198830409,0.0697326451689877,25
pca_removal_k16,pca_removal,moderate,Epidermis,0.43271729058012404,0.05804427714021569,25
pca_removal_k16,pca_removal,moderate,Inflamm/Necrosis,0.2692,0.10000064410433362,25
pca_removal_k16,pca_removal,moderate,SCC,0.3416301410735215,0.1004573195574314,25
pca_removal_k16,pca_removal,moderate,Subcutis,0.48087529411764707,0.1515476952122062,25
pca_removal_k16,pca_removal,severe,Bone,0.25282539682539684,0.15332259758444333,25
pca_removal_k16,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k16,pca_removal,severe,Dermis,0.1564367251461988,0.11297125236443598,25
pca_removal_k16,pca_removal,severe,Epidermis,0.431475995873869,0.052242664430424794,25
pca_removal_k16,pca_removal,severe,Inflamm/Necrosis,0.2517301587301587,0.11372261992851167,25
pca_removal_k16,pca_removal,severe,SCC,0.341089668322545,0.10044460952583556,25
pca_removal_k16,pca_removal,severe,Subcutis,0.44350431372549015,0.1426965993887878,25
pca_removal_k2,pca_removal,mild,Bone,0.26979047619047614,0.1627578851168707,25
pca_removal_k2,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k2,pca_removal,mild,Dermis,0.15774923976608185,0.07811918523795731,25
pca_removal_k2,pca_removal,mild,Epidermis,0.5652234882036973,0.07472455062854487,25
pca_removal_k2,pca_removal,mild,Inflamm/Necrosis,0.41475396825396826,0.18069510167941208,25
pca_removal_k2,pca_removal,mild,SCC,0.3684991130755323,0.11337860754427986,25
pca_removal_k2,pca_removal,mild,Subcutis,0.5927843137254902,0.2056401625601688,25
pca_removal_k2,pca_removal,moderate,Bone,0.2622222222222222,0.16244964850992882,25
pca_removal_k2,pca_removal,moderate,Cartilage,0.0,0.0,5
