dataset,representation,representation_family,fold,neural_seed,confounding_seed,confounding_strength,balanced_accuracy,macro_f1,weighted_f1,n_test,n_test_errors,max_scanner_error_share,recall_Bone,recall_Dermis,recall_Epidermis,recall_Inflamm/Necrosis,recall_SCC,recall_Subcutis,error_rate_cs2,error_rate_gt450,error_rate_nz20,error_rate_nz210,error_rate_p1000,recall_Cartilage
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2003,moderate,0.41921393421393427,0.3825586233695549,0.3813389540243124,725,448,0.19866071428571427,0.35555555555555557,0.32222222222222224,0.34545454545454546,0.41,0.28205128205128205,0.8,0.5862068965517241,0.6689655172413793,0.6206896551724138,0.6,0.6137931034482759,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2004,moderate,0.41536907536907536,0.3322969296753438,0.40243447493595663,725,435,0.20919540229885059,0.3333333333333333,0.16666666666666666,0.37272727272727274,0.44,0.37948717948717947,0.8,0.6,0.6206896551724138,0.6137931034482759,0.5379310344827586,0.6275862068965518,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2005,moderate,0.4013351463351464,0.3102675675096453,0.36214814512026133,725,458,0.1943231441048035,0.4444444444444444,0.1,0.2681818181818182,0.38,0.4153846153846154,0.8,0.6206896551724138,0.6620689655172414,0.6620689655172414,0.6,0.6137931034482759,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2001,severe,0.38403781403781406,0.2986314450680549,0.348650016624995,725,472,0.2245762711864407,0.28888888888888886,0.4,0.33636363636363636,0.28,0.22564102564102564,0.7733333333333333,0.6206896551724138,0.6482758620689655,0.6,0.6551724137931034,0.7310344827586207,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2002,severe,0.3717560217560217,0.3450792882898635,0.3489243677446638,725,472,0.2033898305084746,0.28888888888888886,0.34444444444444444,0.2818181818181818,0.26,0.3487179487179487,0.7066666666666667,0.6758620689655173,0.6206896551724138,0.6551724137931034,0.6413793103448275,0.6620689655172414,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2003,severe,0.41686868686868683,0.33204208061452295,0.3964530095210459,725,439,0.21184510250569477,0.28888888888888886,0.3111111111111111,0.35454545454545455,0.44,0.3333333333333333,0.7733333333333333,0.593103448275862,0.6620689655172414,0.593103448275862,0.5379310344827586,0.6413793103448275,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2004,severe,0.40823620823620815,0.3202831943512047,0.3791563548810851,725,453,0.2119205298013245,0.3333333333333333,0.26666666666666666,0.30454545454545456,0.43,0.3282051282051282,0.7866666666666666,0.5586206896551724,0.6620689655172414,0.6482758620689655,0.593103448275862,0.6620689655172414,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2005,severe,0.39000259000259,0.3702439325339584,0.383600337702711,725,449,0.20044543429844097,0.26666666666666666,0.24444444444444444,0.35454545454545455,0.34,0.37435897435897436,0.76,0.5862068965517241,0.6344827586206897,0.6482758620689655,0.6068965517241379,0.6206896551724138,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2001,mild,0.44662004662004656,0.3530988329174675,0.41274380869461,725,430,0.20232558139534884,0.4444444444444444,0.32222222222222224,0.36818181818181817,0.39,0.3282051282051282,0.8266666666666667,0.5586206896551724,0.5793103448275863,0.6275862068965518,0.6,0.6,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2002,mild,0.48135586635586636,0.44353767664286997,0.4421317616122031,725,408,0.20098039215686275,0.5111111111111111,0.4888888888888889,0.40454545454545454,0.34,0.3435897435897436,0.8,0.5517241379310345,0.5517241379310345,0.5793103448275863,0.5655172413793104,0.5655172413793104,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2003,mild,0.47622118622118625,0.44060683930006,0.4282439308221101,725,412,0.18932038834951456,0.4222222222222222,0.5,0.36818181818181817,0.37,0.3435897435897436,0.8533333333333334,0.5655172413793104,0.5724137931034483,0.6206896551724138,0.5448275862068965,0.5379310344827586,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2004,mild,0.4661888111888112,0.3755237345816342,0.44308922010329455,725,407,0.20884520884520885,0.3333333333333333,0.36666666666666664,0.38636363636363635,0.52,0.3641025641025641,0.8266666666666667,0.5310344827586206,0.5724137931034483,0.5862068965517241,0.5310344827586206,0.5862068965517241,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2005,mild,0.48095182595182595,0.38206971533965894,0.44779415331050054,725,404,0.2103960396039604,0.4,0.4666666666666667,0.39545454545454545,0.44,0.3435897435897436,0.84,0.5448275862068965,0.5586206896551724,0.5517241379310345,0.5448275862068965,0.5862068965517241,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2001,moderate,0.4448174048174048,0.4167420497034759,0.43127563195224616,725,418,0.19138755980861244,0.24444444444444444,0.3888888888888889,0.40454545454545454,0.51,0.3076923076923077,0.8133333333333334,0.5724137931034483,0.5448275862068965,0.6344827586206897,0.5793103448275863,0.5517241379310345,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2002,moderate,0.4807329707329708,0.3710215262548463,0.42460943050473743,725,416,0.22355769230769232,0.5111111111111111,0.43333333333333335,0.38636363636363635,0.49,0.27692307692307694,0.7866666666666666,0.5655172413793104,0.5724137931034483,0.5586206896551724,0.5310344827586206,0.6413793103448275,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2003,moderate,0.4546050246050246,0.40884268273380725,0.4086521421366064,725,430,0.19069767441860466,0.4888888888888889,0.43333333333333335,0.38181818181818183,0.4,0.27692307692307694,0.7466666666666667,0.5655172413793104,0.6137931034482759,0.6344827586206897,0.5862068965517241,0.5655172413793104,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2004,moderate,0.41171458171458175,0.33328284087822435,0.40054099849734154,725,442,0.19683257918552036,0.3333333333333333,0.25555555555555554,0.35909090909090907,0.35,0.358974358974359,0.8133333333333334,0.6275862068965518,0.6206896551724138,0.6413793103448275,0.5586206896551724,0.6,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2005,moderate,0.4581429681429681,0.42441585021862055,0.4194648982299516,725,423,0.19858156028368795,0.4666666666666667,0.3,0.3409090909090909,0.39,0.38461538461538464,0.8666666666666667,0.5310344827586206,0.6137931034482759,0.6068965517241379,0.5862068965517241,0.5793103448275863,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2001,severe,0.40599326599326596,0.31509925945811545,0.37668731168116365,725,452,0.21902654867256638,0.28888888888888886,0.5222222222222223,0.36818181818181817,0.23,0.26666666666666666,0.76,0.593103448275862,0.5862068965517241,0.593103448275862,0.6620689655172414,0.6827586206896552,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2002,severe,0.41366096866096863,0.3450019031519342,0.41387022075600666,725,435,0.21149425287356322,0.26666666666666666,0.45555555555555555,0.35,0.3,0.38974358974358975,0.72,0.6275862068965518,0.5655172413793104,0.5724137931034483,0.6,0.6344827586206897,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2003,severe,0.451041181041181,0.42863582393165417,0.4332903077137237,725,413,0.22276029055690072,0.4222222222222222,0.37777777777777777,0.42727272727272725,0.44,0.358974358974359,0.68,0.503448275862069,0.6206896551724138,0.5448275862068965,0.5448275862068965,0.6344827586206897,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2004,severe,0.4762457912457912,0.37008214632213693,0.42787254351220977,725,418,0.22009569377990432,0.4666666666666667,0.4444444444444444,0.33636363636363636,0.45,0.3333333333333333,0.8266666666666667,0.503448275862069,0.6206896551724138,0.5379310344827586,0.5862068965517241,0.6344827586206897,
caninescc,shuffled_sample_acquisition,neural_factorization,2,914,2005,severe,0.42600233100233104,0.34376200163176496,0.3971645257744482,725,440,0.20681818181818182,0.4222222222222222,0.4111111111111111,0.35909090909090907,0.26,0.3435897435897436,0.76,0.6137931034482759,0.5862068965517241,0.6068965517241379,0.6,0.6275862068965518,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2001,mild,0.4058326858326858,0.38048009347596096,0.41054987279612243,725,430,0.18604651162790697,0.17777777777777778,0.17777777777777778,0.38636363636363635,0.49,0.38974358974358975,0.8133333333333334,0.6413793103448275,0.593103448275862,0.6206896551724138,0.5586206896551724,0.5517241379310345,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2002,mild,0.438960113960114,0.4172911804525659,0.43108797943836735,725,417,0.19664268585131894,0.3111111111111111,0.34444444444444444,0.4,0.37,0.39487179487179486,0.8133333333333334,0.5517241379310345,0.6137931034482759,0.5724137931034483,0.5724137931034483,0.5655172413793104,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2003,mild,0.4317715617715618,0.41063368973371056,0.42232087554843434,725,423,0.19148936170212766,0.24444444444444444,0.3888888888888889,0.35909090909090907,0.39,0.39487179487179486,0.8133333333333334,0.5655172413793104,0.6068965517241379,0.6,0.5862068965517241,0.5586206896551724,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2004,mild,0.4094845894845895,0.331708934276265,0.40774504752199564,725,431,0.19489559164733178,0.2222222222222222,0.13333333333333333,0.34545454545454546,0.48,0.4358974358974359,0.84,0.5793103448275863,0.6068965517241379,0.6,0.6068965517241379,0.5793103448275863,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2005,mild,0.4442592592592593,0.41433644282605847,0.434015595102466,725,413,0.2033898305084746,0.3111111111111111,0.3111111111111111,0.4,0.43,0.4,0.8133333333333334,0.6,0.5724137931034483,0.5586206896551724,0.5379310344827586,0.5793103448275863,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2001,moderate,0.4139303289303289,0.3908323019822924,0.40774291675197794,725,433,0.19630484988452657,0.28888888888888886,0.25555555555555554,0.37272727272727274,0.39,0.38974358974358975,0.7866666666666666,0.6551724137931034,0.5724137931034483,0.5862068965517241,0.5862068965517241,0.5862068965517241,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2002,moderate,0.4092126392126392,0.3260972572660605,0.3941960588270135,725,440,0.225,0.4,0.15555555555555556,0.36818181818181817,0.39,0.39487179487179486,0.7466666666666667,0.5586206896551724,0.5793103448275863,0.6344827586206897,0.5793103448275863,0.6827586206896552,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2003,moderate,0.40207459207459206,0.32169019302715524,0.396498709607235,725,442,0.19457013574660634,0.13333333333333333,0.4666666666666667,0.3409090909090909,0.41,0.3282051282051282,0.7333333333333333,0.6,0.6620689655172414,0.6137931034482759,0.5793103448275863,0.593103448275862,
caninescc,shuffled_sample_acquisition,neural_factorization,2,915,2004,moderate,0.38828023828023833,0.3706896231818327,0.40280239128369705,725,434,0.2073732718894009,0.13333333333333333,0.12222222222222222,0.4318181818181818,0.51,0.358974358974359,0.7733333333333333,0.6068965517241379,0.6206896551724138,0.6068965517241379,0.5379310344827586,0.6206896551724138,
