representation,representation_family,confounding_strength,scanner,mean,std,count
pca_removal_k2,pca_removal,severe,nz210,0.5951791477662621,0.07135850245016323,25
pca_removal_k2,pca_removal,severe,p1000,0.6199419754809954,0.07410934238812636,25
pca_removal_k32,pca_removal,mild,cs2,0.6886665193044503,0.04222958495657643,25
pca_removal_k32,pca_removal,mild,gt450,0.6875884697744952,0.04747796681147751,25
pca_removal_k32,pca_removal,mild,nz20,0.6595235221859541,0.06560270219369693,25
pca_removal_k32,pca_removal,mild,nz210,0.6661553847778893,0.05690488424782941,25
pca_removal_k32,pca_removal,mild,p1000,0.6935642580515539,0.03771250619395919,25
pca_removal_k32,pca_removal,moderate,cs2,0.7173286447034178,0.03699131764474484,25
pca_removal_k32,pca_removal,moderate,gt450,0.702926243548748,0.057953470702409374,25
pca_removal_k32,pca_removal,moderate,nz20,0.6660553723684396,0.06602939215839658,25
pca_removal_k32,pca_removal,moderate,nz210,0.6773859549404014,0.06089272892417507,25
pca_removal_k32,pca_removal,moderate,p1000,0.7021541013600904,0.04747059654239155,25
pca_removal_k32,pca_removal,severe,cs2,0.6988097683052311,0.07648305659848693,25
pca_removal_k32,pca_removal,severe,gt450,0.7074984868596483,0.05876822862299487,25
pca_removal_k32,pca_removal,severe,nz20,0.6690427069737415,0.07712783640147512,25
pca_removal_k32,pca_removal,severe,nz210,0.6865661855788897,0.07250516750579991,25
pca_removal_k32,pca_removal,severe,p1000,0.7138783231287769,0.0642736403967325,25
pca_removal_k4,pca_removal,mild,cs2,0.5839552059488539,0.062335392184795356,25
pca_removal_k4,pca_removal,mild,gt450,0.6018078773414526,0.07261080717044567,25
pca_removal_k4,pca_removal,mild,nz20,0.5745719862580116,0.06997906667031932,25
pca_removal_k4,pca_removal,mild,nz210,0.5735111784766957,0.06407687968659256,25
pca_removal_k4,pca_removal,mild,p1000,0.596868026609406,0.060628709420472014,25
pca_removal_k4,pca_removal,moderate,cs2,0.609983439663113,0.05773269664576816,25
pca_removal_k4,pca_removal,moderate,gt450,0.6208495520410221,0.05999558047365966,25
pca_removal_k4,pca_removal,moderate,nz20,0.5817659208439607,0.06657058020738381,25
pca_removal_k4,pca_removal,moderate,nz210,0.588818040533104,0.054937506173656725,25
pca_removal_k4,pca_removal,moderate,p1000,0.6029366124565761,0.0566421730313194,25
pca_removal_k4,pca_removal,severe,cs2,0.6053793694374456,0.0733792332393373,25
pca_removal_k4,pca_removal,severe,gt450,0.6511617597633932,0.0839753006842823,25
pca_removal_k4,pca_removal,severe,nz20,0.581491436740983,0.06846500901799879,25
pca_removal_k4,pca_removal,severe,nz210,0.5983327246793672,0.07219223177849217,25
pca_removal_k4,pca_removal,severe,p1000,0.6259646323294237,0.07088654743081707,25
