variant,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_failure_count_when_triggered,mean_delta_global_qwk,sd_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,sd_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,sd_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,sd_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,sd_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
minus_mean_abs_error_high,35,15,6,0.4,1.9333333333333333,3.3333333333333335,0.004089298026305717,0.007577656175580983,-0.00010748544619174679,0.00828608149880318,6,0,0.007289142476418756,0.01062536830793414,0.001404424422354049,0.013173860530483463,6,0,0.00759854825007192,0.014103698745826298,-0.0002125965717672514,0.01540969307191109,5,1,0.00434059742783787,0.007387235558635678,0.0002492758659235362,0.008431918989752204,6,0,0.005709803921568627,0.007944178289373905,0.0013100270809598118,0.010109580762177443,6,0
minus_mean_abs_error_high,45,15,9,0.6,2.2666666666666666,3.111111111111111,0.009936486310902388,0.014856992527159734,0.001708139808466659,0.018164832813338118,9,0,0.012774919395117993,0.012492648725612237,0.005856033068720876,0.01969380572151511,9,0,0.009515942003066217,0.012882251353813396,0.002381279474504473,0.01665060453162796,8,1,0.009918548341653932,0.013253922412906717,0.0025780407705267823,0.017259055912781082,9,0,0.011419607843137248,0.011002490767899316,0.005326025561082137,0.017513190125192358,9,0
minus_severe_error_rate_high,0,15,1,0.06666666666666667,0.6666666666666666,3.0,-0.00038010813252222034,0.0014721524670165613,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,0.00040104788199603916,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,0.00564998029234371,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,0.0007917249138132662,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,0.0019440857580962756,-0.0015786666666666692,0.0005747450980392166,0,1
minus_severe_error_rate_high,25,15,4,0.26666666666666666,1.8,3.25,0.00015196023255285387,0.003321769253301602,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,0.007974065083907035,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,0.012795475248741998,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,0.005620069113554578,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,0.005066725637280299,-0.0014257460369946431,0.004186530350720142,3,1
minus_severe_error_rate_high,35,15,8,0.5333333333333333,2.4,3.25,0.004037755003041058,0.007642805715060876,-0.00019511067009928083,0.008270620676181398,7,1,0.008220252078431618,0.010344009466770379,0.002491360853544282,0.013949143303318954,8,0,0.008229239108037892,0.014411348635200959,0.00024770651178320467,0.01621077170429258,6,2,0.004846772444470804,0.00718916477509815,0.0008651497355360582,0.00882839515340555,8,0,0.006431372549019606,0.007795034563686621,0.002114196965117071,0.010748548132922142,8,0
minus_severe_error_rate_high,45,15,11,0.7333333333333333,2.7333333333333334,3.1818181818181817,0.010526980243074443,0.014683035369030064,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.01250276239866849,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.013428175313164396,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.013236816493818592,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.010331834864429585,0.0070778515157047615,0.01852214848429523,11,0
minus_site_qwk_spread_high,0,15,2,0.13333333333333333,0.6666666666666666,3.0,-0.00025459820129093794,0.0015829573762223346,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,0.0008641662651330806,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,0.005639540523103032,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,0.0011476207110986604,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,0.0019565219779301203,-0.0015541817515868565,0.0006130052809986187,1,1
minus_site_qwk_spread_high,25,15,5,0.3333333333333333,1.9333333333333333,3.6,0.001287213823124526,0.005476905159406437,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,0.008571571836490635,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,0.014092860424184927,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,0.007177419009374931,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,0.005824839283408733,-0.00099855831168152,0.005453460272465835,4,1
minus_site_qwk_spread_high,35,15,8,0.5333333333333333,2.6,3.75,0.005316089894404937,0.008720008584375154,0.00048662982667682913,0.010145549962133044,7,1,0.007633897868525104,0.010408821098493741,0.0018691115886841367,0.01339868414836607,8,0,0.010305188395692173,0.014466817424280054,0.002292935152861204,0.01831744163852314,7,1,0.005700321226912649,0.007730813383275093,0.001418713684405804,0.009981928769419494,8,0,0.0066196078431372506,0.00791745185203525,0.0022346330822088324,0.011004582604065668,8,0
minus_site_qwk_spread_high,45,15,10,0.6666666666666666,3.066666666666667,3.8,0.010626377013014528,0.014600684474618701,0.0025399832956944073,0.01871277073033465,10,0,0.014848949134282193,0.012798986549420471,0.007760401703426128,0.021937496565138256,10,0,0.011541628470450874,0.01364540566446462,0.0039843031390785115,0.019098953801823238,9,1,0.010854239893219594,0.012996615759226001,0.003656238169086493,0.018052241617352693,10,0,0.01254901960784313,0.010609005460896699,0.0066733638976507964,0.018424675318035464,10,0
