noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
35,123,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6950507073612511,0.7039331781811011,0.7039331781811011,0.008882470819850052,0.008882470819850052
35,123,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6625497936973612,0.6450387353606767,0.6450387353606767,-0.017511058336684537,-0.017511058336684537
35,123,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6942184702445073,0.696742851286461,0.696742851286461,0.0025243810419536272,0.0025243810419536272
35,123,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5355294117647059,0.5341176470588235,0.5341176470588235,-0.0014117647058824456,-0.0014117647058824456
35,123,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4666793173828035,0.4716268460676626,0.4716268460676626,0.004947528684859093,0.004947528684859093
35,2025,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6862977397205136,0.6842286740905146,0.6842286740905146,-0.0020690656299989785,-0.0020690656299989785
35,2025,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6565551434718944,0.6589286631400545,0.6589286631400545,0.002373519668160129,0.002373519668160129
35,2025,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6854582512688446,0.6928283823413312,0.6928283823413312,0.007370131072486519,0.007370131072486519
35,2025,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5397647058823529,0.5407058823529411,0.5407058823529411,0.0009411764705882231,0.0009411764705882231
35,2025,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4693417118378464,0.4680515920247197,0.4680515920247197,-0.001290119813126711,-0.001290119813126711
35,42,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6855772168680871,0.689944574840861,0.689944574840861,0.004367357972773878,0.004367357972773878
35,42,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6495562553879273,0.6483636561642571,0.6483636561642571,-0.0011925992236702099,-0.0011925992236702099
35,42,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.7003154497435078,0.7072232562752103,0.7072232562752103,0.006907806531702532,0.006907806531702532
35,42,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5449411764705883,0.5435294117647059,0.5435294117647059,-0.0014117647058823346,-0.0014117647058823346
35,42,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4757408517363702,0.4782360040177852,0.4782360040177852,0.002495152281415003,0.002495152281415003
